,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation,disentangling_loss_validation,train_loss,rec_loss,kld_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,disentangling_loss_train,r2_train,r2_ood
"20_0.5_0.1_[1024, 1024, 1024]",23.9067339206385,56.22359085083008,22.445850372314453,33.777740478515625,0.0,0.0,24.458200865088692,22.969173877946613,34.42837142944336,57.39754104614258,22.96916961669922,34.42837142944336,0.0,0.0,0.9902096671195183,0.9521652577998513
"20_0.5_0.1_[2048, 2048]",23.54052053390943,56.47039794921875,22.033924102783203,34.43647384643555,0.0,0.0,23.680140406552585,22.13295332923629,35.36427688598633,57.497230529785156,22.132951736450195,35.36427688598633,0.0,0.0,0.9871753578376327,0.9566899388297211
"20_0.5_1.0_[1024, 1024]",27.157150395436588,42.899444580078125,23.98978042602539,18.909664154052734,0.0,0.0,27.82132069061393,24.570413946566692,19.40839385986328,43.978797912597656,24.570405960083008,19.40839385986328,0.0,0.0,0.9742167975022192,0.946023181508161
"20_0.5_1.0_[1024, 1024, 1024]",27.589743874632312,43.02978515625,24.427324295043945,18.602460861206055,0.0,0.0,28.241341863336825,25.094043935235877,18.51352310180664,43.60755920410156,25.094036102294922,18.51352310180664,0.0,0.0,0.9832773730399517,0.9160365828518845
"20_0.5_1.0_[2048, 2048]",27.241730309309084,42.64289855957031,23.974817276000977,18.668081283569336,0.0,0.0,27.69586850168804,24.337357179417616,19.191497802734375,43.52886199951172,24.337364196777344,19.191497802734375,0.0,0.0,0.9741321463869651,0.927496835930831
"20_1.0_0.1_[1024, 1024]",23.98405626519983,57.91292190551758,22.652996063232422,35.259925842285156,0.0,0.0,24.060573343123053,22.684655866475428,36.44813919067383,59.132789611816406,22.684648513793945,36.44813919067383,0.0,0.0,0.9821233484448414,0.9351934373315696
"20_1.0_0.1_[1024, 1024, 1024]",23.96312238254503,53.946372985839844,22.326810836791992,31.61956024169922,0.0,0.0,24.51076233089471,22.84045188718588,32.27651596069336,55.11697006225586,22.8404541015625,32.27651596069336,0.0,0.0,0.992233054186012,0.9728225555846957
"20_1.0_0.1_[2048, 2048]",23.40612563734821,58.037750244140625,22.03814125061035,35.999610900878906,0.0,0.0,23.611108341873212,22.209888513595697,36.874210357666016,59.08409118652344,22.209882736206055,36.874210357666016,0.0,0.0,0.9877890563091423,0.957884361825647
"20_1.0_1.0_[1024, 1024]",27.07709685034265,44.06310272216797,24.07956314086914,19.983539581298828,0.0,0.0,27.655102044595864,24.55695040853992,20.654340744018555,45.21129608154297,24.556957244873047,20.654340744018555,0.0,0.0,0.973911648890368,0.9186070747881658
"20_1.0_1.0_[1024, 1024, 1024]",27.517571588699404,42.566062927246094,24.489795684814453,18.07626724243164,0.0,0.0,28.197952959345127,25.125354067230926,18.343873977661133,43.46923828125,25.125362396240234,18.343873977661133,0.0,0.0,0.9821735555693791,0.947320445570678
"20_1.0_1.0_[2048, 2048]",26.52773856608088,44.62904357910156,23.581016540527344,21.048025131225586,0.0,0.0,27.05730651672405,24.01603821426932,21.723342895507812,45.7393798828125,24.016035079956055,21.723342895507812,0.0,0.0,0.9744551832697274,0.9394751537677067
