,params_0,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,params_12,params_13,params_14,params_15,params_16,params_17,params_18,params_19,params_20,params_21,params_22,params_23,params_24,params_25,params_26,params_27,params_28,params_29,params_30,params_31,params_32,params_33,params_34,params_35,params_36,params_37,params_38,params_39,params_40,params_41,params_42,params_43,params_44,params_45,params_46,params_47,params_48,params_49,params_50,params_51,params_52,params_53,params_54,params_55,params_56,params_57,params_58,params_59,params_60,params_61,params_62,params_63
wd,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07
adv_lr,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
adv_wd,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07
adv_loss,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce,cce
doser_lr,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
doser_wd,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07,4e-07
do_clip_grad,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gradient_clip_value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
step_size_lr,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45,10,45
r_squared,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521,0.8224327117993521
