"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.control_key","dataset.ood_condition","logger.group","logger.log_model","logger.offline","logger.project","model.cond_output_dropout","model.condition_embedding_dim","model.decoder_dims","model.decoder_dropout","model.epsilon","model.flow_noise","model.flow_type","model.hidden_dims","model.hidden_dropout","model.layer_norm_before_concatenation","model.layers_after_pool.dims","model.layers_after_pool.dropout_rate","model.layers_after_pool.layer_type","model.layers_before_pool.cytokines.dims","model.layers_before_pool.cytokines.dropout_rate","model.layers_before_pool.cytokines.layer_type","model.layers_before_pool.donor.dims","model.layers_before_pool.donor.dropout_rate","model.layers_before_pool.donor.layer_type","model.learning_rate","model.linear_projection_before_concatenation","model.multi_steps","model.pooling","model.tau_a","model.tau_b","model.time_encoder_dims","model.time_encoder_dropout","model.time_freqs","training.batch_size","training.n_cells_max_in_source_ood_at_log_iteration","training.n_cells_max_in_source_ood_at_train_end","training.num_iterations","training.ood_n_conditions_on_log_iteration","training.out_dir","training.save_model","training.save_preds","training.test_n_conditions_on_log_iteration","training.test_n_conditions_on_train_end","training.train_fraction_for_validation","training.valid_freq","ood_e_distance_mean","ood_mmd_mean","ood_r_squared_mean","pca_decoded_ood_r_squared_mean"
"fast-resonance-81","finished","-","","","2024-12-14T05:52:25.000Z","5024","","is_control","TL1A","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.534191489225357","0.002556448569521308","0.8023028075695038","0.9688268049587002"
"brisk-mountain-14","finished","-","","","2024-12-13T20:35:36.000Z","5115","","is_control","CT-1","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.3578557597271559","0.0021996269933879375","0.8020650744438171","0.9713549618445211"
"silvery-vortex-82","finished","-","","","2024-12-14T05:58:44.000Z","5035","","is_control","TNF-alpha","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.2804968563125492","0.0020373647566884756","0.7831551531950632","0.9727695187166141"
"major-shadow-28","finished","-","","","2024-12-13T22:46:32.000Z","4968","","is_control","IFN-epsilon","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.2440415265482976","0.002014096127822995","0.8115000675121943","0.9735024891194337"
"comfy-cosmos-47","finished","-","","","2024-12-14T01:43:07.000Z","5011","","is_control","IL-17E","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.152757073300582","0.0018896939000114799","0.8074049850304922","0.9751070663110148"
"smooth-water-49","finished","-","","","2024-12-14T02:09:18.000Z","4996","","is_control","IL-1Ra","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.1252904002266082","0.0022459302563220263","0.8520634273687998","0.9753834113339752"
"devout-voice-59","finished","-","","","2024-12-14T02:35:17.000Z","5083","","is_control","IL-27","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.1145629293001231","0.0020603362936526537","0.8132757196823756","0.9755112855890116"
"colorful-gorge-70","finished","-","","","2024-12-14T04:39:46.000Z","7526","","is_control","IL-6","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.9819034648285813","0.001846135244704783","0.8055377801259359","0.9764382078624018"
"ancient-pond-85","finished","-","","","2024-12-14T06:54:46.000Z","7371","","is_control","TSLP","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.086298950072892","0.0019533263985067606","0.8554961333672205","0.9771106599870832"
"divine-fog-78","finished","-","","","2024-12-14T05:44:56.000Z","5108","","is_control","SCF","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","1.024907138647966","0.002354787429794669","0.8946288675069809","0.9784089184535195"
"eager-monkey-34","finished","-","","","2024-12-13T23:59:31.000Z","7329","","is_control","IGF-1","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.979233648628656","0.0016600791132077575","0.8075096309185028","0.9785907325396357"
"quiet-plasma-21","finished","-","","","2024-12-13T21:39:03.000Z","7335","","is_control","GDNF","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.9497489511906233","0.001735739759169519","0.8134290178616842","0.9796184639425262"
"super-monkey-73","finished","-","","","2024-12-14T04:49:20.000Z","7368","","is_control","IL-9","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.88903682144698","0.001647781697101891","0.8341894199450811","0.9803781288575677"
"different-elevator-51","finished","-","","","2024-12-14T02:09:24.000Z","5030","","is_control","IL-19","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.8992050162721839","0.0016414966667070985","0.8364564230044683","0.9813163478178026"
"worldly-disco-20","finished","-","","","2024-12-13T21:05:53.000Z","5112","","is_control","FasL","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.86833373579323","0.001507717533968389","0.8633946478366852","0.9814497181270281"
"dashing-snowball-34","finished","-","","","2024-12-13T23:59:31.000Z","7513","","is_control","IL-11","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.830924344884829","0.0016184711130335927","0.8440298934777578","0.9815324566119709"
"autumn-smoke-44","finished","-","","","2024-12-14T00:29:47.000Z","5015","","is_control","IL-17B","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.795058934457393","0.00154275877866894","0.8395791302124659","0.9821812538481908"
"restful-wood-50","finished","-","","","2024-12-14T02:09:19.000Z","5028","","is_control","IL-18","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.7951963037057782","0.0015748962759971619","0.8992717365423838","0.9825544365570505"
"balmy-field-43","finished","-","","","2024-12-14T00:27:48.000Z","4985","","is_control","IL-16","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.7888327267110095","0.001502872328273952","0.8391456057627996","0.9827087037172211"
"dark-monkey-56","finished","-","","","2024-12-14T02:26:16.000Z","7327","","is_control","IL-23","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.7917844087100127","0.0015029208734631538","0.8447575519482294","0.9829961437916023"
"ruby-shadow-12","finished","-","","","2024-12-13T19:24:46.000Z","5041","","is_control","CD30L","hparam_search","true","false","otfm_zebrafish","0.9","256","[4096,4096,4096]","0","0.5","0.1","constant_noise","[2048,2048,2048]","0","false","[1024,1024]","0","mlp","[1024,1024]","0.5","mlp","[256,256]","0","mlp","0.00005","false","20","attention_token","1","1","[1024,1024,1024]","0","1024","1024","30000","30000","500000","","/lustre/groups/ml01/workspace/ot_perturbation/models/otfm/pbmc","true","true","0","0","0","125000","0.8162659067096255","0.001466327696107328","0.8378182053565979","0.9833620459769601"
